r6qrhlnc|2|2|tall|9|1|9|1,4,5,2|8,PASS|
r6qrhlnc|3|1|tall|9|1|11|0,9,2,1|8,PASS|
r6qrhlnc|4|0|tall|8|1|10|8,0,2,2|8|H/H14
r6qrhlnc|5|2|tall|9|0|8|1,3,6,2|PASS|
r6qrhlnc|6|0|tall|9|1|9|7,2,1,2|9|K/K13
r6qrhlnc|7|3|tall|9|1|9|0,1,2,9|7,PASS|
r6qrhlnc|8|0|tall|8|1|10|7,3,0,2|8|K/K14
r6qrhlnc|9|0|tall|9|1|10|9,1,1,1|9|K/K14
r6qrhlnc|10|1|tall|9|1|9|3,6,3,0|8,PASS|
r6qrhlnc|11|1|tall|9|0|7|3,4,3,2|8,PASS|
r6qrhlnc|12|0|tall|9|0|8|5,1,3,3|9|K/K13
r6qrhlnc|13|0|tall|9|1|10|8,2,0,2|9|K/K14
r6qrhlnc|14|2|tall|9|1|9|2,1,4,5|7,PASS|
8ybn50gr|0|2|tall|8|1|10|3,1,7,1|PASS|
8ybn50gr|1|0|tall|8|1|9|7,1,2,2|8|R/R14
otge3j31|0|2|tall|10|0|8|1,1,7,3|8,PASS|
otge3j31|1|1|tall|9|1|10|3,7,1,1|8,PASS|
qag8ukh3|0|0|tall|10|1|11|7,1,4,0|10|S/S14
qag8ukh3|1|0|tall|9|1|10|8,1,1,2||H/H13
qag8ukh3|2|0|tall|11|1|11|10,1,0,1|11|K/K12
8knv5cei|0|0|tall|9|1|9|7,1,2,2|9|S/S13
8knv5cei|1|0|tall|10|1|11|9,0,1,2|10|S/S14
8knv5cei|2|0|tall|11|0|7|5,2,2,3|11|K/K13
w8xpc054|0|0|tall|10|1|12|6,0,0,6|10|H/H14
unsgpoqb|0|0|tall|9|1|9|6,3,1,2|9|S/S14
w8xpc054|1|0|tall|10|1|12|9,3,0,0|10|H/H12
w8xpc054|2|0|tall|10|0|9|7,1,2,2|10|K/K14
unsgpoqb|1|0|tall|11|1|11|8,0,3,1|11|K/K14
w8xpc054|3|0|tall|9|1|11|6,0,5,1|9|K/K12
w8xpc054|4|0|tall|9|1|12|9,0,0,3|9|S/S12
w8xpc054|5|2|tall|10|0|9|2,1,5,4|9,PASS|
w8xpc054|6|2|tall|9|1|9|1,2,7,2|8,PASS|
w8xpc054|7|2|tall|9|1|10|0,5,5,2|7,PASS|
w8xpc054|8|2|tall|10|1|10|0,1,9,2|9,PASS|
w8xpc054|9|3|tall|9|1|10|2,2,0,8|7,PASS|
w8xpc054|10|3|tall|9|0|8|1,1,3,7|7,PASS|
8pot8mas|0|0|tall|9|0|7|6,2,1,3|9|R/R12
8pot8mas|1|2|tall|9|0|8|0,2,6,4|PASS|
xmozye6s|0|3|tall|9|1|11|0,0,1,11|PASS|
xmozye6s|1|0|tall|8|1|8|4,4,1,3|8|H/H14
kpmnggbg|0|1|tall|9|1|9|5,4,1,2|PASS|
kpmnggbg|1|0|tall|9|1|9|6,3,1,2|9|S/S14
kpmnggbg|2|0|tall|9|0|7|5,2,3,2|9|H/H12
kpmnggbg|3|2|tall|9|1|9|4,2,5,1|8,PASS|
kpmnggbg|4|2|tall|9|1|9|1,2,7,2|PASS|
kpmnggbg|5|0|tall|8|1|9|7,3,0,2|8|S/S14
kpmnggbg|6|0|tall|8|1|10|7,1,1,3|8|S/S14
kpmnggbg|7|1|tall|8|1|9|1,7,2,2|7,PASS|
kpmnggbg|8|0|tall|9|0|7|4,4,3,1|9|S/S14
kpmnggbg|9|1|tall|9|1|11|4,7,0,1|8,PASS|
kpmnggbg|10|1|tall|9|1|9|0,5,4,3|8,PASS|
nnd3le0p|0|3|tall|7|1|7|3,2,3,4|PASS|
nnd3le0p|1|3|tall|9|0|5|6,1,1,4|8,PASS|
nnd3le0p|2|3|tall|8|1|8|1,2,2,7|PASS|
nnd3le0p|3|0|tall|9|1|12|10,0,0,2|9|S/S14
nnd3le0p|4|0|tall|9|1|9|8,0,1,3|9|K/K13
nnd3le0p|5|2|tall|9|1|9|1,2,6,3|PASS|
nnd3le0p|6|3|tall|9|1|9|3,4,0,5|PASS|
nnd3le0p|7|2|tall|8|1|8|2,2,5,3|7,PASS|
nnd3le0p|8|2|tall|9|0|8|3,2,6,1|PASS|
nnd3le0p|9|1|tall|9|0|6|3,3,6,0|8,PASS|
nnd3le0p|10|1|tall|8|1|8|2,6,2,2|7,PASS|
nnd3le0p|11|1|tall|8|1|8|2,5,3,2|7,PASS|
nnd3le0p|12|1|tall|9|0|6|4,2,3,3|PASS|
nnd3le0p|13|1|tall|8|1|9|1,6,2,3|7,PASS|
nnd3le0p|14|2|tall|9|1|11|1,1,10,0|7,PASS|
nnd3le0p|15|3|tall|9|0|8|1,1,3,7|7,PASS|
nnd3le0p|16|3|tall|8|1|10|1,2,1,8|PASS|
lmnx95st|0|3|tall|9|0|3|4,1,5,2|PASS|
lmnx95st|1|0|tall|9|1|9|7,3,2,0|9|H/H12
lmnx95st|2|0|tall|9|0|7|6,1,1,4|9|H/H14
lmnx95st|3|3|tall|9|1|11|1,1,0,10|7,PASS|
lmnx95st|4|1|tall|8|1|8|1,5,3,3|PASS|
lmnx95st|5|2|tall|9|0|4|5,3,1,3|PASS|
lmnx95st|6|2|tall|9|1|10|0,4,6,2|7,PASS|
lmnx95st|7|2|tall|9|1|9|0,2,7,3|PASS|
lmnx95st|8|3|tall|9|0|7|3,2,2,5|PASS|
lmnx95st|9|1|tall|9|1|10|3,7,1,1|PASS|
lmnx95st|10|3|tall|9|1|9|3,3,0,6|8,PASS|
lmnx95st|11|0|tall|9|1|12|10,0,0,2|9|S/S10
lmnx95st|12|3|tall|9|1|10|0,2,3,7|PASS|
lmnx95st|13|0|tall|8|1|12|6,0,0,6|8|K/K13
lmnx95st|14|2|tall|9|1|10|3,1,7,1|8,PASS|
lmnx95st|15|0|tall|9|1|10|9,1,1,1|9|S/S13
lmnx95st|16|0|tall|9|1|11|8,3,1,0|9|H/H11
hlp9oqfq|0|2|tall|9|0|7|1,3,6,2|PASS|
hlp9oqfq|1|1|tall|9|1|11|3,8,1,0|8,PASS|
hlp9oqfq|2|0|tall|10|1|11|6,0,5,1|10|R/R14
hlp9oqfq|3|3|tall|9|0|6|0,6,1,5|7,PASS|
hlp9oqfq|4|3|tall|9|1|11|5,0,1,6|PASS|
hlp9oqfq|5|0|tall|9|1|10|6,1,1,4|9|H/H12
hlp9oqfq|6|3|tall|8|0|5|1,3,4,4|PASS|
lgqvt4gw|0|0|tall|9|1|11|6,0,1,5|9|K/K14
lgqvt4gw|1|0|tall|9|1|11|8,0,1,3|9|K/K14
lgqvt4gw|2|2|tall|9|1|10|1,2,8,1|8,PASS|
lgqvt4gw|3|1|tall|10|0|8|3,8,1,0|9,PASS|
lgqvt4gw|4|0|tall|9|1|9|7,0,2,3|9|R/R14
lgqvt4gw|5|3|tall|10|1|10|4,0,2,6|9,PASS|
lgqvt4gw|6|0|tall|9|1|11|9,0,1,2|9|S/S14
lgqvt4gw|7|2|tall|9|0|7|1,3,6,2|7,PASS|
lgqvt4gw|8|1|tall|9|1|9|2,5,4,1|8,PASS|
lgqvt4gw|9|1|tall|9|1|10|1,7,3,1|8,PASS|
bn80ajfd|0|0|tall|10|1|10|9,2,0,1|10|S/S13
bn80ajfd|1|1|tall|9|1|9|4,5,3,0|8,PASS|
bn80ajfd|2|2|tall|10|1|10|1,1,9,1|PASS|
bn80ajfd|3|0|tall|9|1|11|10,1,0,1|9|K/K13
4s9x1g9f|0|0|tall|10|1|10|6,2,0,4|10|S/S14
4s9x1g9f|1|3|tall|9|0|8|3,1,1,7|PASS|
4s9x1g9f|2|2|tall|9|0|8|2,2,6,2|8,PASS|
4s9x1g9f|3|0|tall|9|1|10|9,1,1,1|9|K/K14
4s9x1g9f|4|0|tall|10|1|11|7,1,0,4|10|H/H13
4s9x1g9f|5|0|tall|10|1|11|9,0,1,2|10|H/H13
4s9x1g9f|6|1|tall|9|1|11|2,9,1,0|8,PASS|
4s9x1g9f|7|0|tall|9|0|7|4,3,2,3|9|H/H14
4s9x1g9f|8|0|tall|8|1|9|8,0,1,3|8|R/R12
4s9x1g9f|9|0|tall|10|0|9|8,2,1,1|10|S/S13
4s9x1g9f|10|2|tall|9|0|8|3,1,5,3|8,PASS|
4s9x1g9f|11|1|tall|8|1|9|4,5,3,0|7,PASS|
4s9x1g9f|12|1|tall|8|1|9|1,7,2,2|PASS|
4s9x1g9f|13|0|tall|10|1|10|8,2,0,2|10|K/K13
4s9x1g9f|14|0|tall|10|0|9|8,0,1,3|10|H/H8
9fx2qkr8|0|2|tall|10|0|9|0,3,7,2|PASS|
9fx2qkr8|1|1|tall|9|0|8|3,5,3,1|8,PASS|
9fx2qkr8|2|0|tall|9|1|11|8,1,0,3|9|H/H14
9fx2qkr8|3|0|tall|9|1|9|7,2,1,2|9|S/S11
9fx2qkr8|4|0|tall|10|1|12|8,0,0,4|10|R/R14
9fx2qkr8|5|0|tall|9|0|7|6,1,1,4|9|H/H13
9fx2qkr8|6|1|tall|8|1|11|1,9,0,2|PASS|
9fx2qkr8|7|1|tall|9|1|10|2,5,0,5|8,PASS|
9fx2qkr8|8|3|tall|9|0|6|3,3,0,6|PASS|
9fx2qkr8|9|0|tall|9|1|10|7,1,3,1|9|K/K13
9fx2qkr8|10|0|tall|10|1|10|9,1,1,1|10|R/R14
9fx2qkr8|11|2|tall|9|0|5|5,0,5,2|7,PASS|
9fx2qkr8|12|0|tall|9|1|11|8,1,0,3|9|H/H14
z0wavdao|0|0|tall|10|1|10|9,1,1,1|10|K/K13
z0wavdao|1|1|tall|9|1|12|0,6,0,6|PASS|
z0wavdao|2|1|tall|9|0|7|1,5,4,2|8,PASS|
z0wavdao|3|3|tall|9|0|8|0,2,2,8|7,PASS|
z0wavdao|4|0|tall|8|1|9|7,2,1,2|8|K/K11
dnk6atxf|0|3|tall|9|1|9|3,1,2,6|PASS|
dnk6atxf|1|2|tall|9|0|8|4,5,3,0|8,PASS|
dnk6atxf|2|2|tall|9|0|7|2,3,6,1|8,PASS|
dnk6atxf|3|2|tall|9|1|10|0,2,8,2|7,PASS|
dnk6atxf|4|0|tall|9|1|9|6,2,3,1|9|R/R13
dnk6atxf|5|3|tall|8|0|5|6,1,1,4|PASS|
dnk6atxf|6|2|tall|9|0|7|4,2,3,3|8,PASS|
dnk6atxf|7|3|tall|9|1|10|1,4,1,6|8,PASS|
dnk6atxf|8|1|tall|9|0|8|3,7,1,1|PASS|
dnk6atxf|9|3|tall|8|1|8|4,3,1,4|PASS|
dnk6atxf|10|0|tall|9|1|9|6,1,3,2|9|S/S14
dnk6atxf|11|1|tall|9|0|5|3,1,4,4|8,PASS|
48kbow4m|0|3|tall|9|0|8|3,5,1,3|PASS|
48kbow4m|1|0|tall|9|1|10|9,0,1,2|9|K/K13
e8znen4r|0|0|tall|10|1|12|7,5,0,0|10|H/H13
e8znen4r|1|0|tall|9|1|10|8,0,2,2|9|K/K14
e8znen4r|2|0|tall|9|1|12|9,0,3,0|9|H/H13
e8znen4r|3|0|tall|9|1|10|9,1,2,0|9|H/H11
e8znen4r|4|3|tall|8|0|7|3,2,6,1|PASS|
e8znen4r|5|2|tall|9|0|8|2,1,6,3|PASS|
e8znen4r|6|1|tall|9|1|9|1,6,3,2|8,PASS|
e8znen4r|7|0|tall|8|1|9|6,1,3,2|8|K/K12
e8znen4r|8|0|tall|8|1|9|7,2,2,1|8|H/H13
2c1wrw7d|0|2|tall|9|0|8|2,3,5,2|PASS|
2c1wrw7d|1|2|tall|9|1|10|5,2,5,0|PASS|
2c1wrw7d|2|2|tall|9|0|8|5,2,3,2|8,PASS|
2c1wrw7d|3|1|tall|10|0|8|2,5,3,2|7,PASS|
2c1wrw7d|4|1|tall|9|1|9|3,6,0,3|PASS|
2c1wrw7d|5|1|tall|9|1|10|5,5,0,2|PASS|
2c1wrw7d|6|2|tall|9|0|5|3,2,3,4|7,PASS|
2c1wrw7d|7|0|tall|9|0|8|6,2,3,1|9|S/S14
2c1wrw7d|8|2|tall|8|0|7|3,2,5,2|PASS|
2c1wrw7d|9|0|tall|9|1|11|6,5,1,0|9|H/H13
2c1wrw7d|10|1|tall|9|1|10|0,9,1,2|8,PASS|
2c1wrw7d|11|0|tall|8|1|11|10,0,1,1|8|K/K12
2c1wrw7d|12|0|tall|10|0|9|8,1,1,2|10|K/K14
2c1wrw7d|13|3|tall|10|0|9|1,2,3,6|PASS|
2c1wrw7d|14|3|tall|9|1|9|2,0,3,7|PASS|
2c1wrw7d|15|3|tall|10|1|10|4,2,0,6|7,PASS|
2c1wrw7d|16|1|tall|8|1|8|5,3,2,2|PASS|
y5x2ozgr|0|1|tall|9|1|10|0,9,1,2|PASS|
y5x2ozgr|1|3|tall|7|1|9|2,2,1,7|PASS|
y5x2ozgr|2|1|tall|8|1|10|2,8,1,1|7,PASS|
y5x2ozgr|3|2|tall|9|1|9|2,1,7,2|8,PASS|
y5x2ozgr|4|2|tall|9|1|9|2,2,7,1|PASS|
y5x2ozgr|5|3|tall|9|0|5|1,3,4,4|PASS|
y5x2ozgr|6|1|tall|9|1|12|4,8,0,0|8,PASS|
y5x2ozgr|7|0|tall|9|1|10|9,1,0,2|9|K/K12
y5x2ozgr|8|0|tall|9|1|9|8,1,2,1|9|S/S11
taswnx1r|0|2|tall|8|0|6|2,2,4,4|PASS|
taswnx1r|1|1|tall|9|1|9|2,5,1,4|8,PASS|
taswnx1r|2|0|tall|9|1|11|8,0,3,1|7,9|R/R13
taswnx1r|3|0|tall|9|1|9|7,2,1,2|9|S/S12
taswnx1r|4|1|tall|9|1|10|1,7,1,3|8,PASS|
taswnx1r|5|0|tall|9|1|10|9,1,1,1|9|S/S10
taswnx1r|6|3|tall|10|0|9|3,2,1,6|9,PASS|
s24oskrr|0|0|tall|9|0|7|5,2,2,3|9|H/H12
1pd1tkn6|0|1|tall|9|0|7|1,6,2,3|PASS|
1pd1tkn6|1|2|tall|8|1|9|3,0,6,3|PASS|
1pd1tkn6|2|2|tall|9|0|8|6,1,2,3|8,PASS|
1pd1tkn6|3|3|tall|9|1|9|2,3,1,6|6,PASS|
1pd1tkn6|4|1|tall|9|1|10|1,6,4,1|PASS|
1pd1tkn6|5|1|tall|8|1|8|2,6,2,2|PASS|
1pd1tkn6|6|0|tall|9|1|10|9,1,1,1|9|H/H12
1pd1tkn6|7|2|tall|8|1|8|3,1,5,3|7,PASS|
