# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:06.180Z  giver=8 målPoeng=30 tro=e1-modell/mlb-tro.bin
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	SPILL	5	0.5289	0.0108	0.0298
0	SPILL	5	0.5125	0.0117	0.0247
0	SPILL	5	0.5057	0.0114	0.0252
0	SPILL	5	0.6155	0.0119	0.1081
0	SPILL	4	0.5011	0.0117	0.0237
0	SPILL	4	0.5101	0.0132	0.0190
0	SPILL	4	0.4999	0.0201	0.0203
0	SPILL	4	0.6062	0.0121	0.0852
0	SPILL	3	0.5681	0.0125	0.0100
0	SPILL	1	0.5189	0.0136	0.0002
0	SPILL	2	0.5203	0.0123	0.0101
0	SPILL	1	0.4993	0.0126	0.0002
0	SPILL	2	0.4917	0.0344	0.0079
0	SPILL	2	0.4974	0.0135	0.0099
0	SPILL	2	0.5211	0.0121	0.0098
0	SPILL	1	0.5130	0.0131	0.0001
0	SPILL	1	0.5071	0.0135	0.0002
0	SPILL	1	0.4974	0.0142	0.0002
0	SPILL	1	0.5090	0.0146	0.0002
0	SPILL	1	0.5073	0.0148	0.0002
0	BUD	0	0.4089	0.0095	0.0002
0	BUD	0	0.4247	0.0097	0.0002
0	BUD	0	0.4569	0.0106	0.0001
0	BUD	0	0.4441	0.0109	0.0002
0	VRAK	0	0.3781	0.0098	0.0001
0	VELG	0	0.3994	0.0094	0.0001
0	SPILL	5	0.4266	0.0095	0.0522
0	SPILL	2	0.4619	0.0092	0.0126
0	SPILL	1	0.4340	0.0095	0.0001
0	SPILL	2	0.4350	0.0093	0.3437
0	SPILL	11	0.5869	0.0113	0.0283
0	SPILL	1	0.4886	0.0102	0.0002
0	SPILL	4	0.5200	0.0121	0.0153
0	SPILL	1	0.4428	0.0109	0.0002
0	SPILL	10	0.5639	0.0146	0.0460
0	SPILL	5	0.8384	0.0103	0.0200
0	SPILL	2	0.4603	0.0102	0.0104
0	SPILL	3	0.5318	0.0095	0.0739
0	SPILL	9	0.4587	0.0109	0.0155
0	SPILL	1	0.4693	0.0111	0.0002
0	SPILL	2	0.5453	0.0121	0.0483
0	SPILL	1	0.4778	0.0115	0.0001
0	SPILL	8	0.5670	0.0181	0.0757
0	SPILL	1	0.6342	0.0139	0.0002
0	SPILL	3	0.6131	0.0107	0.0675
0	SPILL	4	0.5530	0.0101	0.0211
0	SPILL	7	0.6008	0.0154	0.0150
0	SPILL	3	0.5387	0.0102	0.0147
0	SPILL	7	0.8595	0.0109	0.1453
0	SPILL	4	0.5169	0.0096	0.0193
0	SPILL	6	0.5310	0.0090	0.0486
0	SPILL	6	0.5237	0.0093	0.0302
0	SPILL	2	0.5415	0.0098	0.0471
0	SPILL	3	0.5000	0.0167	0.0157
0	SPILL	5	0.5869	0.0106	0.0421
0	SPILL	5	0.5710	0.0192	0.0257
0	SPILL	1	0.5176	0.0117	0.0001
0	SPILL	2	0.5007	0.0118	0.0082
0	SPILL	4	0.4948	0.0101	0.0078
0	SPILL	2	0.5209	0.0103	0.0077
0	SPILL	4	0.5144	0.0424	0.0199
0	SPILL	4	0.7294	0.0111	0.0978
0	SPILL	3	0.8474	0.0118	0.0289
0	SPILL	3	0.5160	0.0105	0.0166
0	SPILL	3	0.5659	0.0104	0.0663
0	SPILL	3	0.5094	0.0103	0.0162
0	SPILL	2	0.5165	0.0105	0.0085
0	SPILL	2	0.4939	0.0104	0.0112
0	SPILL	2	0.5458	0.0102	0.0367
0	SPILL	2	0.5200	0.0110	0.0114
0	SPILL	1	0.5243	0.0123	0.0002
0	SPILL	1	0.5043	0.0119	0.0001
0	SPILL	1	0.5046	0.0125	0.0001
0	SPILL	1	0.5194	0.0130	0.0001
0	BUD	0	0.4163	0.0081	0.0001
0	BUD	0	0.4007	0.0077	0.0001
0	BUD	0	0.3993	0.0077	0.0002
0	BUD	0	0.3744	0.0079	0.0002
0	VRAK	0	0.4251	0.0096	0.0001
0	VELG	0	0.4296	0.0075	0.0001
0	SPILL	6	0.4510	0.0076	0.0428
0	SPILL	2	0.4222	0.0074	0.0131
0	SPILL	12	0.5524	0.0092	0.1202
0	SPILL	1	0.4151	0.0083	0.0001
0	SPILL	11	0.4638	0.0084	0.0266
0	SPILL	5	0.5794	0.0089	0.1202
0	SPILL	1	0.4579	0.0088	0.0003
0	SPILL	11	0.5105	0.0084	0.0849
0	SPILL	10	0.4836	0.0082	0.0528
0	SPILL	10	0.5144	0.0087	0.0662
0	SPILL	10	0.5430	0.0107	0.0644
0	SPILL	3	0.5807	0.0087	0.2543
0	SPILL	9	0.5292	0.0095	0.0184
