# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:04.140Z  giver=20 målPoeng=30 tro=AV
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	SPILL	5	0.0658	0.0096	0.0245
0	SPILL	5	0.0642	0.0091	0.0244
0	SPILL	5	0.1518	0.0097	0.1082
0	SPILL	4	0.0636	0.0091	0.0223
0	SPILL	4	0.0607	0.0097	0.0192
0	SPILL	4	0.0824	0.0102	0.0189
0	SPILL	4	0.1268	0.0097	0.0899
0	SPILL	3	0.0514	0.0114	0.0100
0	SPILL	1	0.0410	0.0102	0.0001
0	SPILL	2	0.0559	0.0100	0.0099
0	SPILL	1	0.0388	0.0095	0.0002
0	SPILL	2	0.0504	0.0103	0.0076
0	SPILL	2	0.0502	0.0098	0.0108
0	SPILL	2	0.0563	0.0103	0.0096
0	SPILL	1	0.0403	0.0102	0.0001
0	SPILL	1	0.0456	0.0108	0.0001
0	SPILL	1	0.0404	0.0104	0.0002
0	SPILL	1	0.0387	0.0103	0.0002
0	SPILL	1	0.0388	0.0127	0.0002
0	BUD	0	0.0442	0.0073	0.0002
0	BUD	0	0.0390	0.0062	0.0002
0	BUD	0	0.0377	0.0061	0.0001
0	BUD	0	0.0382	0.0063	0.0002
0	VRAK	0	0.0435	0.0064	0.0001
0	VELG	0	0.0385	0.0061	0.0001
0	SPILL	5	0.0747	0.0065	0.0485
0	SPILL	2	0.0784	0.0088	0.0119
0	SPILL	1	0.0514	0.0068	0.0002
0	SPILL	2	0.0527	0.0069	0.0119
0	SPILL	11	0.1361	0.0131	0.0455
0	SPILL	1	0.0390	0.0069	0.0001
0	SPILL	4	0.3007	0.0159	0.0152
0	SPILL	1	0.0442	0.0089	0.0001
0	SPILL	10	0.0910	0.0085	0.0443
0	SPILL	5	0.0624	0.0085	0.0199
0	SPILL	2	0.0519	0.0082	0.0116
0	SPILL	3	0.1217	0.0081	0.0767
0	SPILL	9	0.0526	0.0079	0.0159
0	SPILL	1	0.0404	0.0081	0.0001
0	SPILL	2	0.0922	0.0081	0.0471
0	SPILL	1	0.0434	0.0081	0.0002
0	SPILL	8	0.0858	0.0090	0.0606
0	SPILL	1	0.0548	0.0088	0.0002
0	SPILL	3	0.1473	0.0142	0.0674
0	SPILL	4	0.0618	0.0392	0.0216
0	SPILL	7	0.0660	0.0083	0.0144
0	SPILL	3	0.0727	0.0097	0.0153
0	SPILL	7	0.1989	0.0088	0.1487
0	SPILL	4	0.0627	0.0083	0.0201
0	SPILL	6	0.1147	0.0160	0.0580
0	SPILL	6	0.0803	0.0091	0.0314
0	SPILL	2	0.1005	0.0084	0.0474
0	SPILL	3	0.0744	0.0085	0.0159
0	SPILL	5	0.0733	0.0082	0.0292
0	SPILL	5	0.0697	0.0087	0.0253
0	SPILL	1	0.0407	0.0085	0.0002
0	SPILL	2	0.0510	0.0101	0.0083
0	SPILL	4	0.0554	0.0120	0.0086
0	SPILL	2	0.0558	0.0094	0.0083
0	SPILL	4	0.0730	0.0372	0.0204
0	SPILL	4	0.3371	0.0107	0.0983
0	SPILL	3	0.0806	0.0093	0.0290
0	SPILL	3	0.0730	0.0091	0.0165
0	SPILL	3	0.3168	0.0158	0.0724
0	SPILL	3	0.0614	0.0099	0.0164
0	SPILL	2	0.0477	0.0088	0.0081
0	SPILL	2	0.0536	0.0095	0.0111
0	SPILL	2	0.1080	0.0153	0.0537
0	SPILL	2	0.0534	0.0096	0.0113
0	SPILL	1	0.0397	0.0100	0.0001
0	SPILL	1	0.0511	0.0099	0.0001
0	SPILL	1	0.0414	0.0099	0.0002
0	SPILL	1	0.0407	0.0103	0.0002
0	BUD	0	0.0368	0.0048	0.0001
0	BUD	0	0.0386	0.0050	0.0002
0	BUD	0	0.0383	0.0051	0.0001
0	BUD	0	0.0376	0.0059	0.0001
0	VRAK	0	0.0576	0.0060	0.0002
0	VELG	0	0.0374	0.0052	0.0001
0	SPILL	6	0.0817	0.0055	0.0347
0	SPILL	2	0.0714	0.0111	0.0154
0	SPILL	12	0.1443	0.0058	0.1042
0	SPILL	1	0.0376	0.0060	0.0001
0	SPILL	11	0.0629	0.0056	0.0225
0	SPILL	5	0.1757	0.0072	0.1178
0	SPILL	1	0.0385	0.0062	0.0001
0	SPILL	11	0.1327	0.0070	0.0777
0	SPILL	10	0.0932	0.0066	0.0510
0	SPILL	10	0.1346	0.0071	0.0744
0	SPILL	10	0.1032	0.0066	0.0657
0	SPILL	3	0.1409	0.0078	0.0734
0	SPILL	9	0.0692	0.0151	0.0248
0	SPILL	9	0.4901	0.0204	0.2021
0	SPILL	4	0.0708	0.0078	0.0245
0	SPILL	3	0.0590	0.0072	0.0172
0	SPILL	8	0.0818	0.0070	0.0564
0	SPILL	2	0.0606	0.0075	0.0122
0	SPILL	3	0.0524	0.0071	0.0134
0	SPILL	3	0.0865	0.0116	0.0195
0	SPILL	7	0.0458	0.0147	0.0118
0	SPILL	2	0.0480	0.0077	0.0082
0	SPILL	7	0.1938	0.0078	0.1526
0	SPILL	3	0.0621	0.0079	0.0144
0	SPILL	6	0.0652	0.0077	0.0232
0	SPILL	1	0.0395	0.0084	0.0001
0	SPILL	2	0.0569	0.0078	0.0099
0	SPILL	2	0.0909	0.0082	0.0744
0	SPILL	5	0.0803	0.0089	0.0210
0	SPILL	5	0.0654	0.0077	0.0225
0	SPILL	1	0.0400	0.0086	0.0001
0	SPILL	1	0.0395	0.0087	0.0001
0	SPILL	4	0.0512	0.0084	0.0065
0	SPILL	1	0.0428	0.0089	0.0001
0	SPILL	4	0.1272	0.0088	0.0772
0	SPILL	1	0.0541	0.0089	0.0001
0	SPILL	3	0.0510	0.0084	0.0076
0	SPILL	3	0.0547	0.0091	0.0130
0	SPILL	3	0.0606	0.0085	0.0129
0	SPILL	1	0.0377	0.0081	0.0001
0	SPILL	2	0.0596	0.0094	0.0056
0	SPILL	2	0.0612	0.0089	0.0083
0	SPILL	2	0.0479	0.0166	0.0088
0	SPILL	2	0.0788	0.0086	0.0358
0	SPILL	1	0.0368	0.0100	0.0001
0	SPILL	1	0.0399	0.0090	0.0001
0	SPILL	1	0.0384	0.0094	0.0001
0	SPILL	1	0.0370	0.0102	0.0001
0	BUD	0	0.0958	0.0368	0.0001
0	BUD	0	0.1287	0.0102	0.0001
0	BUD	0	0.0605	0.0091	0.0001
0	BUD	0	0.0756	0.0096	0.0001
0	VRAK	0	0.0798	0.0078	0.0001
0	VELG	0	0.0612	0.0053	0.0001
0	SPILL	5	0.2165	0.0074	0.0377
0	SPILL	2	0.1122	0.0101	0.0138
0	SPILL	3	0.0851	0.0059	0.0427
0	SPILL	1	0.0625	0.0071	0.0002
0	SPILL	11	0.1857	0.0601	0.0300
0	SPILL	4	0.2540	0.0080	0.0963
0	SPILL	1	0.0587	0.0067	0.0001
0	SPILL	2	0.0747	0.0098	0.0107
0	SPILL	10	0.1215	0.0068	0.0542
0	SPILL	3	0.0748	0.0069	0.0124
0	SPILL	4	0.1697	0.0074	0.0992
0	SPILL	2	0.0699	0.0071	0.0098
0	SPILL	9	0.0815	0.0071	0.0220
0	SPILL	3	0.1386	0.0072	0.0709
0	SPILL	2	0.0710	0.0076	0.0093
0	SPILL	3	0.1537	0.0145	0.0841
0	SPILL	8	0.0681	0.0073	0.0193
0	SPILL	2	0.1319	0.0079	0.0529
0	SPILL	8	0.1160	0.0081	0.0348
0	SPILL	2	0.1044	0.0077	0.0511
0	SPILL	7	0.0553	0.0075	0.0158
0	SPILL	7	0.2145	0.0086	0.1747
0	SPILL	2	0.0742	0.0079	0.0089
0	SPILL	3	0.2939	0.0158	0.0226
0	SPILL	6	0.0905	0.0119	0.0421
0	SPILL	6	0.0830	0.0100	0.0309
0	SPILL	1	0.1036	0.0097	0.0001
0	SPILL	6	0.5750	0.0213	0.1563
0	SPILL	5	0.0689	0.0083	0.0205
0	SPILL	5	0.0572	0.0078	0.0146
0	SPILL	2	0.0491	0.0085	0.0066
0	SPILL	3	0.0825	0.0093	0.0102
0	SPILL	4	0.0449	0.0087	0.0253
0	SPILL	2	0.0887	0.0088	0.0506
0	SPILL	4	0.0583	0.0085	0.0185
0	SPILL	1	0.0402	0.0089	0.0002
0	SPILL	3	0.0440	0.0085	0.0053
0	SPILL	1	0.0436	0.0098	0.0001
0	SPILL	3	0.0572	0.0092	0.0129
0	SPILL	3	0.0545	0.0090	0.0124
0	SPILL	2	0.0667	0.0087	0.0157
0	SPILL	2	0.0522	0.0099	0.0083
0	SPILL	2	0.0480	0.0090	0.0085
0	SPILL	2	0.0843	0.0094	0.0384
0	SPILL	1	0.0394	0.0087	0.0001
0	SPILL	1	0.0678	0.0114	0.0001
0	SPILL	1	0.0498	0.0099	0.0001
0	SPILL	1	0.0558	0.0106	0.0001
0	BUD	0	0.0385	0.0054	0.0001
0	BUD	0	0.0817	0.0059	0.0001
0	BUD	0	0.0701	0.0052	0.0001
0	BUD	0	0.0654	0.0055	0.0001
0	VRAK	0	0.0426	0.0056	0.0001
0	VELG	0	0.0360	0.0052	0.0001
0	SPILL	6	0.1086	0.0133	0.0413
0	SPILL	1	0.0426	0.0067	0.0001
0	SPILL	2	0.1257	0.0060	0.0104
0	SPILL	2	0.0627	0.0066	0.0112
0	SPILL	11	0.0611	0.0058	0.0210
0	SPILL	1	0.0372	0.0059	0.0001
0	SPILL	1	0.0383	0.0067	0.0001
0	SPILL	5	0.0569	0.0077	0.0164
0	SPILL	10	0.0928	0.0058	0.0495
0	SPILL	1	0.0423	0.0072	0.0001
0	SPILL	10	0.1070	0.0073	0.0626
0	SPILL	10	0.3548	0.0168	0.0663
0	SPILL	9	0.0912	0.0077	0.0410
0	SPILL	9	0.2683	0.0070	0.2250
0	SPILL	9	0.0923	0.0069	0.0604
0	SPILL	9	0.0943	0.0077	0.0546
0	SPILL	8	0.0758	0.0073	0.0324
0	SPILL	8	0.2364	0.0072	0.1898
0	SPILL	8	0.0843	0.0070	0.0429
0	SPILL	8	0.1014	0.0082	0.0439
0	SPILL	7	0.0670	0.0081	0.0239
0	SPILL	1	0.0402	0.0076	0.0001
0	SPILL	3	0.0589	0.0077	0.0141
0	SPILL	3	0.0550	0.0075	0.0138
0	SPILL	6	0.0832	0.0081	0.0290
0	SPILL	6	0.1787	0.0079	0.1315
0	SPILL	2	0.0502	0.0084	0.0078
0	SPILL	2	0.1091	0.0090	0.0458
0	SPILL	5	0.0457	0.0079	0.0072
0	SPILL	1	0.0464	0.0079	0.0001
0	SPILL	5	0.0605	0.0086	0.0163
0	SPILL	5	0.1504	0.0089	0.1067
0	SPILL	4	0.0511	0.0083	0.0095
0	SPILL	4	0.1329	0.0104	0.0820
0	SPILL	1	0.0389	0.0085	0.0001
0	SPILL	1	0.0405	0.0091	0.0001
0	SPILL	3	0.0497	0.0091	0.0082
0	SPILL	3	0.1024	0.0090	0.0587
0	SPILL	3	0.0511	0.0086	0.0121
0	SPILL	3	0.0516	0.0101	0.0138
0	SPILL	2	0.0464	0.0085	0.0062
0	SPILL	2	0.0807	0.0085	0.0384
0	SPILL	2	0.0505	0.0170	0.0088
0	SPILL	2	0.0482	0.0104	0.0086
0	SPILL	1	0.0398	0.0087	0.0001
0	SPILL	1	0.0393	0.0088	0.0001
0	SPILL	1	0.0399	0.0108	0.0001
0	SPILL	1	0.0380	0.0095	0.0001
0	BUD	0	0.0360	0.0048	0.0001
